symbol,old_classification,new_classification,old_net_return,benchmark_pass,null_pass,survives_1_5x_costs,net_return_1_5x_costs,median_trade_return,profit_factor,top_positive_split_share,top_5_winners_profit_share,robustness_failure_reasons
AAPL,rejected_no_edge,rejected_no_edge,-0.040649000860233576,False,False,False,-0.05090777688237251,-0.0018703551810678731,0.3127038027531511,0.0,0.5325636893732446,failed_cost_stress|negative_median_trade|trade_concentrated|weak_profit_factor
AMD,rejected_no_edge,rejected_no_edge,-0.04227476653962294,False,False,False,-0.05202939863210432,-0.0023856084390918575,0.5175334916880673,1.0,0.32291993001541813,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
AMZN,rejected_costs_kill_edge,rejected_costs_kill_edge,-0.004930093610564512,False,False,False,-0.013637866142246425,-5.557936092415172e-06,0.8446644149622355,0.35652353067995535,0.44024064812648367,failed_cost_stress|negative_median_trade|weak_profit_factor
AVGO,rejected_no_edge,rejected_no_edge,-0.024887300102961075,False,False,False,-0.03379096926003498,-0.0013516778667151952,0.5957722163012658,1.0,0.41625492539171927,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
BABA,rejected_no_edge,rejected_no_edge,0.005719595097557639,False,True,False,-0.002436490171655925,-0.0003118035647874384,1.1830938841207037,0.3971033181947341,0.48783298510327594,failed_cost_stress|negative_median_trade
BAC,rejected_no_edge,rejected_no_edge,-0.01926962246434567,False,True,False,-0.03210855301879341,-0.0007826690384359902,0.6246670904411239,1.0,0.35278086673577286,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
BMY,rejected_no_edge,rejected_no_edge,-0.02203495167757963,False,False,False,-0.031859544643947,-0.001400088638317032,0.5897777736321326,1.0,0.49588063659043685,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
C,rejected_costs_kill_edge,rejected_costs_kill_edge,-0.007419555796372657,False,True,False,-0.019445711241125107,-0.0004624723168172862,0.840314631857131,0.7791634165818925,0.30747177171419154,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
CRM,candidate_intraday_test,interesting_intraday_needs_more_tests,0.004680094693717862,True,True,False,-0.0028292893739190637,-0.0007308071605386379,1.1512789332808524,0.909883870378577,0.5047883720248927,failed_cost_stress|negative_median_trade|split_concentrated|trade_concentrated
CSCO,rejected_costs_kill_edge,rejected_costs_kill_edge,-0.006058127502108346,False,False,False,-0.015158733211178398,-0.00026656271491432015,0.7905745059841878,0.7323705062364878,0.3536706788660419,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
CSX,rejected_costs_kill_edge,rejected_costs_kill_edge,-0.012573295549933427,False,True,False,-0.022418437036631423,-0.0008523004010811963,0.7216018599313033,1.0,0.4054550896813506,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
CVX,rejected_no_edge,rejected_no_edge,-0.010762722185431107,False,True,False,-0.023520272990511005,-0.000863258011743695,0.7522326276702394,1.0,0.34145760133416386,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
DIS,rejected_no_edge,rejected_no_edge,-0.008541049628340746,True,False,False,-0.017277539613910632,-0.0012493562105807543,0.7696318363072095,0.8044182013991805,0.42861715443736365,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
FCX,rejected_costs_kill_edge,rejected_costs_kill_edge,-0.0023227849574418923,False,True,False,-0.013116934697338944,-0.001791923333636647,0.9582115562946394,0.5204164720303002,0.3065226645864298,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
GLW,rejected_no_edge,rejected_no_edge,-0.031868522829153825,False,False,False,-0.04048458021195125,-0.001678320393289301,0.3651250815323546,0.0,0.4077446220865736,failed_cost_stress|negative_median_trade|weak_profit_factor
GOOG,rejected_no_edge,rejected_no_edge,-0.019586426452271044,False,False,False,-0.027435795258186936,-0.0005648359278898063,0.4832291906678634,1.0,0.49325670727002296,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
GOOGL,rejected_no_edge,rejected_no_edge,-0.03253760276765174,False,False,False,-0.04295098360097578,-0.0010461943412288233,0.4419358298998455,1.0,0.3506598139032263,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
HOOD,rejected_no_edge,rejected_no_edge,0.003238398996954239,False,False,False,-0.0001822131477432709,0.00019852686112131757,1.1834729975199794,0.5638823959002406,0.726495614146942,failed_cost_stress|split_concentrated|trade_concentrated
INTC,rejected_no_edge,rejected_no_edge,0.008689596963907809,False,True,True,0.0046688002012927445,3.0500157072455014e-05,1.2984532153692077,0.5602648786321399,0.5108193241418434,split_concentrated|trade_concentrated
ITUB,rejected_no_edge,rejected_no_edge,-0.022388134646604364,False,True,False,-0.036868415034866577,-0.001659328429223783,0.6700585319508289,1.0,0.27536867327756837,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
KLAC,rejected_no_edge,rejected_no_edge,-0.02013171658725903,False,False,False,-0.030827345956866738,-0.001582562170091173,0.6755444230769824,1.0,0.36028146149886975,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
KO,rejected_no_edge,rejected_no_edge,-0.026182778288883067,False,False,False,-0.039604766554954596,-0.0010676114893691802,0.4792179439859659,1.0,0.3471938801499367,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
LRCX,rejected_no_edge,rejected_no_edge,0.0037425777984701368,False,True,False,-0.004790107290070211,0.000892956908799647,1.089170861638032,0.5287831459586546,0.3608533436085089,failed_cost_stress|split_concentrated|weak_profit_factor
LYG,rejected_no_edge,rejected_no_edge,-0.01899181932095584,False,True,False,-0.03646731873174407,-0.0010996975000001075,0.6999513763203649,1.0,0.5008143553628115,failed_cost_stress|negative_median_trade|split_concentrated|trade_concentrated|weak_profit_factor
META,rejected_costs_kill_edge,rejected_costs_kill_edge,-0.0074370837447567785,False,False,False,-0.01721314362837929,-0.0005121444729557778,0.8188849058798398,0.8930569975406027,0.3768214285529036,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor
