signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__body_to_range_bin__bearish__compatible_loop_count_bin__7_plus__6a1b4392ce,LONG,pairwise,2,461,186,20,-9.77790645614,0.014324909395,0.892418657084,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""compatible_loop_count_bin"",""operator"":""=="",""value"":""7_plus""}]"
long__body_to_range_bin__bearish__compatible_loop_count_bin__7_plus__stock_vs_universe_return_bin__minus_one_to_zero__6bb6bec2e9,LONG,three_condition,3,155,97,20,-7.67407701016,0.0362128108714,0.948846300603,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""compatible_loop_count_bin"",""operator"":""=="",""value"":""7_plus""},{""family"":""cross_sectional"",""feature"":""stock_vs_universe_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bearish__df0a869f09,LONG,univariate,1,3453,252,20,-8.63555063722,-0.000140804030993,0.646347724316,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""}]"
long__body_to_range_bin__bearish__parent_loop_family__transition_length_2__e960be0570,LONG,pairwise,2,838,231,20,-3.96234179147,0.0194139810924,0.709845121037,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""parent_loop_family"",""operator"":""=="",""value"":""transition_length_2""}]"
long__body_to_range_bin__bearish__return_12_cross_sectional_rank_bin__bottom_20__9a91b58aa1,LONG,pairwise,2,929,240,20,-10.7149558095,-0.00525390672293,0.58738018394,0.999955450325,-0.320991522868,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""}]"
long__body_to_range_bin__bearish__return_12_cross_sectional_rank_bin__bottom_20__session_return_bin__minus_one_to_zero__777eeb50d7,LONG,three_condition,3,82,68,20,-0.742855456357,0.0465983340815,0.67906896368,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""},{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bearish__state_motif_2__3gt6__9ac5260357,LONG,pairwise,2,79,57,19,-23.9199528769,0.0144896585644,1,1,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>6""}]"
long__body_to_range_bin__bearish__state_motif_2__4gt5__471efd3991,LONG,pairwise,2,50,37,17,4.59668654403,0.0787934560327,1,1,-0.244489863988,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""4>5""}]"
long__body_to_range_bin__bearish__stock_vs_market_return_bin__below_minus_one_scale__universe_breadth_bin__strong__8171d7634b,LONG,three_condition,3,196,111,20,-48.0958432726,-0.0738596051918,0.989763789934,0.999955450325,-0.524466841952,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""below_minus_one_scale""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""strong""}]"
long__body_to_range_bin__bearish__top_loop_score_bin__middle__fcb9ed391b,LONG,pairwise,2,615,214,20,-3.43276892591,0.0303381714799,0.64960425236,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""top_loop_score_bin"",""operator"":""=="",""value"":""middle""}]"
long__body_to_range_bin__bearish__top_parent_loop__cycle_04__cd3c1cc960,LONG,pairwise,2,54,44,18,1.63873270629,-0.0337991365599,1,1,-0.289994808769,False,False,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""top_parent_loop"",""operator"":""=="",""value"":""cycle_04""}]"
long__body_to_range_bin__bearish__top_second_margin_bin__low__56dd8d0ff7,LONG,pairwise,2,66,56,19,17.7555434968,0.0739449711842,1,1,-0.3,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""top_second_margin_bin"",""operator"":""=="",""value"":""low""}]"
long__body_to_range_bin__bullish__4bdedf51eb,LONG,univariate,1,3204,251,20,-10.9245055782,-0.00581328554031,0.985421915941,0.999955450325,-0.165968536262,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""}]"
